file	heading	tag	note
08 Metadata and Status/04 Evidence and Relationship Metadata.md	Evidence Maturity	kernel	证据强度轴机制（examples）
08 Metadata and Status/04 Evidence and Relationship Metadata.md	Prerequisites	kernel	前置依赖与循环检查
08 Metadata and Status/04 Evidence and Relationship Metadata.md	Aliases	mixed	alias 机制为 kernel；"常见中文名称"项依赖中文合同抽入 profile
08 Metadata and Status/05 Review Source and Migration Metadata.md	Review Dates	kernel	三日期语义区分
08 Metadata and Status/05 Review Source and Migration Metadata.md	Freshness And Review Due	mixed	机制为 kernel；domain→volatility 派发表 AI 取值抽入 profile
08 Metadata and Status/05 Review Source and Migration Metadata.md	Conditional Source Metadata	kernel	来源条件字段与 supersedes 链（examples）
08 Metadata and Status/05 Review Source and Migration Metadata.md	Migration Rules	kernel	schema 先批准、Ledger 先行等迁移不变量
08 Metadata and Status/05 Review Source and Migration Metadata.md	Related	nav
09 Wiki Link and Navigation Standard.md	Purpose	kernel	MOC 稳定入口
09 Wiki Link and Navigation Standard.md	Reading Rule	kernel	通用读取协议
09 Wiki Link and Navigation Standard.md	Module Index	kernel	模块索引
09 Wiki Link and Navigation Standard.md	Applicable Read Sets	kernel	Read Set 挂接
09 Wiki Link and Navigation Standard.md	Related Standards	nav
09 Wiki Link and Navigation/01 Link Semantics and Body Links.md	Purpose	kernel	链接表达真实关系（examples）
09 Wiki Link and Navigation/01 Link Semantics and Body Links.md	Link Meaning	mixed	关系词表为 kernel；Interview 关系项上浮为"派生表达物↔canonical"通用关系，命名留 profile
09 Wiki Link and Navigation/01 Link Semantics and Body Links.md	In-body Links	kernel	首现建链、语境、不重复链接
09 Wiki Link and Navigation/02 Structural and Bidirectional Links.md	Structural Links	mixed	最少结构导航为 kernel；"P0/P1 须链接 Interview Card"句抽入 profile
09 Wiki Link and Navigation/02 Structural and Bidirectional Links.md	Bidirectional Knowledge Flow	mixed	流向机制为 kernel；Interview Card/Question Bank 行随 profile，派生物双向连通槽位保留
09 Wiki Link and Navigation/03 Path Alias and Heading Links.md	Path And Alias Rules	kernel	完整路径消歧、`\|` 转义、MOC/leaf 引用
09 Wiki Link and Navigation/03 Path Alias and Heading Links.md	Heading Links	kernel	heading link 稳定性（examples）
09 Wiki Link and Navigation/04 MOC Related and Link Creation.md	Overview And MOC	mixed	三件套机制为 kernel；"归入 Interview Preparation"句抽入 profile
09 Wiki Link and Navigation/04 MOC Related and Link Creation.md	Related Section	kernel	Related 语义分组（examples）
09 Wiki Link and Navigation/04 MOC Related and Link Creation.md	Link Creation Policy	kernel	建链前查重、不留 unresolved link
09 Wiki Link and Navigation/05 Verification and Anti-patterns.md	Verification	kernel	missing=0/ambiguous=0 定义（examples）
09 Wiki Link and Navigation/05 Verification and Anti-patterns.md	Anti-patterns	kernel	链接反模式清单
09 Wiki Link and Navigation/05 Verification and Anti-patterns.md	Related	nav
10 Writing and Formatting Standard.md	Purpose	kernel	MOC 稳定入口
10 Writing and Formatting Standard.md	Reading Rule	kernel	通用读取协议
10 Writing and Formatting Standard.md	Module Index	mixed	索引机制与 01–04 行为 kernel；10/05 行随语言合同抽入 profile
10 Writing and Formatting Standard.md	Post-migration Extensions（迁移后扩展）	instance	治理史与守恒计数；登记表机制可上浮 kernel
10 Writing and Formatting Standard.md	Applicable Read Sets	kernel	Read Set 挂接
10 Writing and Formatting Standard.md	Related Standards	nav
10 Writing and Formatting/01 Naming Language and Prose.md	Purpose	kernel	职责声明（10/05 指针为可替换语言槽位）
10 Writing and Formatting/01 Naming Language and Prose.md	Naming	mixed	命名机制为 kernel；"不添加中文翻译/双语后缀"两条抽入 profile（examples）
10 Writing and Formatting/01 Naming Language and Prose.md	Language Routing（语言规则路由）	mixed	"语言政策单一 owner"路由为 kernel；`English（中文）` 合同内容抽入 profile
10 Writing and Formatting/01 Naming Language and Prose.md	Titles	mixed	结构规则为 kernel；中英显示顺序句随语言合同抽入 profile
10 Writing and Formatting/01 Naming Language and Prose.md	Paragraphs And Lists	kernel	通用行文规则
10 Writing and Formatting/02 Mathematics Tables and Code.md	Mathematics	kernel	公式规则
10 Writing and Formatting/02 Mathematics Tables and Code.md	Tables	kernel	表格机制（表头语言指针为槽位）
10 Writing and Formatting/02 Mathematics Tables and Code.md	Code And Pseudocode	mixed	机制为 kernel；`Python Algorithm Agent Training` 豁免句为 instance 抽走
10 Writing and Formatting/03 Diagrams and Assets.md	Diagrams	mixed	图类型/方向/完整性为 kernel；label 遵循 10/05 句随语言合同抽入 profile（examples）
10 Writing and Formatting/03 Diagrams and Assets.md	Assets	kernel	资产路径与渲染验证机制
10 Writing and Formatting/04 Rendering and Formatting Review.md	Rendering Workflow	kernel	确定性优先渲染工作流
10 Writing and Formatting/04 Rendering and Formatting Review.md	Formatting Anti-patterns	mixed	通用反模式为 kernel；末三条语言反模式随 10/05 抽入 profile
10 Writing and Formatting/04 Rendering and Formatting Review.md	Related	nav
10 Writing and Formatting/05 Chinese-first Technical Language.md	Purpose（目的）	profile	中文优先语言合同，整模块随 profile
10 Writing and Formatting/05 Chinese-first Technical Language.md	Ownership Boundary（职责边界）	profile	owner 矩阵（"一个问题一个 owner"原则可上浮 kernel）
10 Writing and Formatting/05 Chinese-first Technical Language.md	File And Folder Names（文件与文件夹名称）	profile	英文文件名+中文 aliases 合同
10 Writing and Formatting/05 Chinese-first Technical Language.md	Headings And Titles（标题）	profile	`English（中文）` 标题合同（Stable Heading Migration 机制可上浮 kernel）
10 Writing and Formatting/05 Chinese-first Technical Language.md	Protected English Tokens（受保护英文标识）	profile	受保护英文类别表（决策树骨架可上浮 kernel 槽位）
10 Writing and Formatting/05 Chinese-first Technical Language.md	Body Prose（正文）	profile	中文正文合同
10 Writing and Formatting/05 Chinese-first Technical Language.md	Tables（表格）	profile	中文表头合同及例外清单
10 Writing and Formatting/05 Chinese-first Technical Language.md	Diagrams Schemas And Code（图表结构与代码）	profile	图 label 语言合同
10 Writing and Formatting/05 Chinese-first Technical Language.md	Source And Interview Exceptions（来源与面试例外）	profile	双重依赖语言合同与 11 域
10 Writing and Formatting/05 Chinese-first Technical Language.md	Terminology And Wiki Links（术语与链接）	profile	链接语言合同
10 Writing and Formatting/05 Chinese-first Technical Language.md	Acceptance And Audit（验收与审计）	profile	语言验收清单（"自动检查只产候选"原则可上浮 kernel）
10 Writing and Formatting/05 Chinese-first Technical Language.md	Migration And Invalidation（迁移与失效）	profile	语言迁移与失效边界（最小失效机制可上浮 kernel）；施工中改判+理由：将首句的 `Standards v1.5` 历史版本归属去实例化为通用迁移谓词并登记 instance segment，避免旧版本史进入 active profile
10 Writing and Formatting/05 Chinese-first Technical Language.md	Examples（示例）	profile	显示合同示例对
10 Writing and Formatting/05 Chinese-first Technical Language.md	Related（相关规则）	nav
11 Interview Content Standard.md	Purpose	profile	面试 MOC 入口，整域随可选 profile 模块
11 Interview Content Standard.md	Reading Rule	profile	随模块整体下放
11 Interview Content Standard.md	Module Index	profile	面试子模块索引
11 Interview Content Standard.md	Applicable Read Sets	profile	面试 Read Set 挂接
11 Interview Content Standard.md	Related Standards	nav
11 Interview Content/01 Interview Architecture and Separation.md	Purpose	mixed	"表达层独立存放、wiki link 回接、不污染 canonical"上浮为通用 expression-layer 规则；面试语义留 profile
11 Interview Content/01 Interview Architecture and Separation.md	Core Separation	mixed	understand/express/practice/evaluate 分层机制上浮通用；Card/Question Bank/Rubric 角色留 profile
11 Interview Content/01 Interview Architecture and Separation.md	Folder Structure	mixed	"不建空类别文件夹、迁移走 Migration Policy"通用；目录树与子目录名属 profile/instance
11 Interview Content/02 Card Granularity Coverage and Categories.md	Interview Card Granularity	profile	单卡/合并卡粒度策略（examples）
11 Interview Content/02 Card Granularity Coverage and Categories.md	Interview Coverage Status	mixed	独立 status 轴、"派生物 link 只算 mapped"与双向导航机制上浮通用；取值表留 profile
11 Interview Content/02 Card Granularity Coverage and Categories.md	Interview Card Categories	profile	卡片分类；"未综合 claim 不当项目事实"依赖通用证据机制
11 Interview Content/03 Card Structure and Answer Levels.md	Interview Card Structure	profile	卡片模板含双语分区
11 Interview Content/03 Card Structure and Answer Levels.md	Answer Levels	profile	30/90 秒/追问树分层
11 Interview Content/04 System Deep Dive and Bilingual Policy.md	System And Project Deep Dive	mixed	"答案回链 canonical、派生物不发明系统事实"上浮通用；深挖骨架留 profile
11 Interview Content/04 System Deep Dive and Bilingual Policy.md	Bilingual Policy	profile	双语答案合同，双重绑定
11 Interview Content/05 Knowledge Links and Preparation.md	Knowledge Links	mixed	占位路径必须换可解析 link、双向引用、emerging/contested 标注机制上浮通用；模板与路径例子留 profile
11 Interview Content/06 Roadmap and Question Bank.md	Roadmap Policy	mixed	"checkbox 表示用户进度不证明建设完成"上浮通用（状态轴独立）；路线内容留 profile
11 Interview Content/06 Roadmap and Question Bank.md	Question Bank Policy	profile	题库字段约定
11 Interview Content/07 Migration Audit and Acceptance.md	Migration Policy	mixed	create-before-remove、原位回链、禁先删后补上浮为通用 expression-layer 迁移规则；对象清单留 profile
11 Interview Content/07 Migration Audit and Acceptance.md	Migration Audit	mixed	扫描范围/四类 disposition/"自动扫描只出候选"机制上浮通用；候选章节名留 profile
11 Interview Content/07 Migration Audit and Acceptance.md	Acceptance Criteria	mixed	通用验收谓词上浮；P0/P1 建卡、30/90 秒、双语一致留 profile
11 Interview Content/07 Migration Audit and Acceptance.md	Related	nav
12 Quality Assurance Standard.md	Purpose	kernel	MOC 稳定入口
12 Quality Assurance Standard.md	Reading Rule	kernel	MOC 定位与模块读取规则
12 Quality Assurance Standard.md	Module Index	kernel	模块登记表（登记的 Interview Review 节随 profile 拆出后同步本表）
12 Quality Assurance Standard.md	Post-migration Extensions	instance	v1.4 模块与守恒计数迁移史（"扩展不改守恒计数"机制句可上收 kernel）
12 Quality Assurance Standard.md	Applicable Read Sets	kernel	Read Set 挂接（Interview Content Read Set 行属 profile）
12 Quality Assurance Standard.md	Related Standards	nav
12 Quality Assurance/01 Quality Dimensions and Single Note Review.md	Purpose	kernel	验收总则
12 Quality Assurance/01 Quality Dimensions and Single Note Review.md	Quality Dimensions	mixed	维度清单为 kernel；Language clarity（中文优先）与 Interview readiness 两维度抽至 profile
12 Quality Assurance/01 Quality Dimensions and Single Note Review.md	Single Note Review	mixed	Structure/Content/Accuracy/Links/Rendering 骨架与分档验收为 kernel；语言验收项、Interview Card link 项、Agent/Harness 表述抽走
12 Quality Assurance/01 Quality Dimensions and Single Note Review.md	Substantive Correctness Review	kernel	【含裁决④】独立上下文、三级 findings、两轮收敛；两轮上限为宪法常数，不开放覆写
12 Quality Assurance/02 Rendering Verification.md	Rendering Verification Levels	kernel	Level 0–4 与升级 trigger（Obsidian host 具名为部署工具痕迹，note 级处理）
12 Quality Assurance/03 Module Coverage and Batch Review.md	Module Review	mixed	模块验收机制 kernel；Agent/Harness 依赖清单与 Roadmap/Cheat Sheet/Interview 同步行抽走
12 Quality Assurance/03 Module Coverage and Batch Review.md	Coverage Reconciliation Review	kernel	Ledger 对账机制
12 Quality Assurance/03 Module Coverage and Batch Review.md	Batch Review	mixed	批内/全局分组、S/M/L gate 合并、并发缺链规则 kernel；Interview migration 批内项抽走（改为 expression-layer 槽位）
12 Quality Assurance/04 Guidance Source and Interview Review.md	Guidance Reconciliation Review	kernel	三计数与终审期间 guidance 分支
12 Quality Assurance/04 Guidance Source and Interview Review.md	Source Intake And Promotion Review	kernel	来源审查与 promotion gate
12 Quality Assurance/04 Guidance Source and Interview Review.md	Interview Review	profile	整节面试审查规则；末段 receipt 复用与 12/01 挂接句保留引用位
12 Quality Assurance/05 Automated and Manual Checks.md	Automated Checks	kernel	指回 12/07
12 Quality Assurance/05 Automated and Manual Checks.md	Domain-specific Checks	mixed	检查登记机制 kernel；语言自动检查项与 Interview link 检查抽走；check_vocab 词表来自 profile
12 Quality Assurance/05 Automated and Manual Checks.md	Manual Checks	mixed	人工审阅机制 kernel；语言维度项与 Agent/Harness 完整性项抽走
12 Quality Assurance/06 Completion Terminal Audit and Final Report.md	Completion Gate	mixed	gate 序列 kernel；interview_status 升级 gate 句抽走（expression-layer 槽位）
12 Quality Assurance/06 Completion Terminal Audit and Final Report.md	Terminal Audit	mixed	11 步流程、Proof 字段、零值条件 kernel；步骤 8 Interview/Roadmap/Cheat Sheet 同步项抽走
12 Quality Assurance/06 Completion Terminal Audit and Final Report.md	Terminal Findings And Convergence	kernel	【含裁决④】三级处置与两轮上限；终审两轮上限为宪法常数，不开放覆写
12 Quality Assurance/06 Completion Terminal Audit and Final Report.md	Final Report	mixed	报告骨架 kernel；interview-ready 报告项抽走
12 Quality Assurance/06 Completion Terminal Audit and Final Report.md	Related	nav
12 Quality Assurance/07 Audit Evidence Reuse and Invalidation.md	Purpose	kernel	目标声明
12 Quality Assurance/07 Audit Evidence Reuse and Invalidation.md	Audit Layers	kernel	五层分工表（interview 一词随 profile 重写示例）
12 Quality Assurance/07 Audit Evidence Reuse and Invalidation.md	Dimension-specific Audit Receipt	mixed	【已裁决③】内核固定七个基础维度（链接/深度/公式/来源/覆盖/渲染/合同），profile 登记扩展维度；interview 为本实例的扩展维度
12 Quality Assurance/07 Audit Evidence Reuse and Invalidation.md	Reuse Gate	kernel	复用谓词与按维度部分复用
12 Quality Assurance/07 Audit Evidence Reuse and Invalidation.md	Invalidation	mixed	失效传播机制 kernel；Dependency 表 Interview Card 行与 language/display contract 行为 profile 挂接边
12 Quality Assurance/07 Audit Evidence Reuse and Invalidation.md	Content-level Propagation	kernel	needs_rereview 传播规则
12 Quality Assurance/07 Audit Evidence Reuse and Invalidation.md	Incremental Audit Planning	kernel	AuditPlan 七步
12 Quality Assurance/07 Audit Evidence Reuse and Invalidation.md	Batch-close Closed List	mixed	封闭清单机制（七项封闭、governance 准入、≤60s）kernel；第 6 项 Interview 残留扫描抽走改为 profile 注册扫描槽位；第 7 项词表来自 profile
12 Quality Assurance/07 Audit Evidence Reuse and Invalidation.md	Incremental By Default	mixed	增量默认与 freshness 兜底 kernel；中文解释/`English（中文）` 项与 Interview Card 双语项抽走
12 Quality Assurance/07 Audit Evidence Reuse and Invalidation.md	Specialized Audit Boundary	mixed	专项边界机制与其余行 kernel；Interview Audit 行为 profile 专项
12 Quality Assurance/07 Audit Evidence Reuse and Invalidation.md	Terminal Reconciliation Rules	kernel	unresolved_invalidations=0
12 Quality Assurance/07 Audit Evidence Reuse and Invalidation.md	Active-task Adoption	kernel	changed-predicate、no-op、legacy-evidence
12 Quality Assurance/07 Audit Evidence Reuse and Invalidation.md	Related	nav
Tools/README.md	<FILE>	kernel	工具分工/receipts 流转/YAML 子集为 kernel；示例调用含实例目录名 "Agent Knowledge"（instance）；编译产物声明指向 profile
Tools/kblib.py	<FILE>	kernel	共享库，完全领域无关
Tools/check_links.py	<FILE>	kernel	链接检查，无实例硬编码
Tools/check_vocab.py	<FILE>	kernel	脚本通用，词表来自 profile；P0≤15% 配额检查数值属内核默认值（裁决④）
Tools/check_language.py	<FILE>	profile	中文优先规则本体内嵌脚本（行 45–48 正则）；candidate-only 外壳可 kernel 化；行 43 硬编码 "Knowledge Base Standards" 豁免目录（instance）
Tools/check_freshness.py	<FILE>	kernel	保质期机制通用；行 56–64 DOMAIN_DEFAULT 硬编码 profile 派发表（应改读词表）；行 19/137 硬编码目录名（instance）；施工中改判+理由：按已确认 Confirmation Checklist 第 6 项，本期脚本保持逐字节不变，DOMAIN_DEFAULT 与目录硬编码不改写，统一登记为 Tooling Deferral，不宣称已支持 profile 注入
Tools/check_proof.py	<FILE>	kernel	Proof 校验，字段清单读模板
Tools/check_moc.py	<FILE>	kernel	MOC 一致性检测；行 41 正则硬编码 "Knowledge Base Standards/" 前缀（instance）；需补围栏感知；施工中改判+理由：按已确认 Confirmation Checklist 第 6 项，本期脚本保持逐字节不变，旧前缀硬编码与围栏感知补强统一延期并登记为 Tooling Deferral
Tools/apply_delta.py	<FILE>	kernel	delta 确定性应用
Tools/stamp_cards.py	<FILE>	kernel	卡片盖戳/校验
Tools/duplicate_check.py	<FILE>	kernel	相似度候选检测；行 23/42 硬编码排除 "v1.1 Legacy"（instance）
Tools/vocab.yaml	<FILE>	profile-derived	由 08 域编译的词表产物；拆分后由新 profile 重新编译
Tools/schemas/audit_plan.template.yaml	<FILE>	kernel	schema 模板；示例值含实例路径（随新实例替换）；施工中改判+理由：按已确认 Confirmation Checklist 第 6 项，本期 schema 模板保持逐字节不变，实例路径示例本期不替换，登记为 Tooling Deferral
Tools/schemas/coverage_delta.template.yaml	<FILE>	kernel	schema 模板；示例值含实例路径
Tools/schemas/coverage_ledger.template.yaml	<FILE>	kernel	schema 模板；示例值含实例路径
Tools/schemas/progress_ledger.template.yaml	<FILE>	kernel	schema 模板；示例含实例路径与 profile 领域内容
Tools/schemas/receipt.template.jsonl	<FILE>	kernel	receipt schema；示例行含实例路径
Tools/schemas/terminal_proof.template.yaml	<FILE>	kernel	Proof 28 字段模板；示例含实例路径
Tools/schemas/watermark.template.yaml	<FILE>	kernel	水位线模板；示例含 profile domain 与实例来源名
Tools/state/watermark.yaml	<FILE>	instance	运行时状态文件；按新实例 profile 重新初始化；施工中改判+理由：按已确认 Confirmation Checklist 第 6 项，本期删除旧运行状态且不创建替代实例 state；通用 watermark schema 保留，待新实例运行时另行初始化
Cards/00 Card Index.md	<FILE>	derived	编译产物，拆分后重生成；含面试路由行（profile）；施工中改判+理由：按已确认 Confirmation Checklist 第 2 项，本期将“拆分后重生成”改为不重编，原文件字节级归档至 legacy/cards，并由 agent-atlas Runtime Card compatibility provider 保留稳定 Card ID → legacy snapshot → canonical Read Set 路由；面试路由由 provider 指向 profile-owned RS 05，未来 governance 的派生产物重编义务不取消
Cards/01 Core Bootstrap Card.md	<FILE>	derived	编译产物；含 `Python Algorithm Agent Training`（instance）、双语/主线/面试成分（profile）
Cards/02 Single Note Authoring Card.md	<FILE>	derived	编译产物；含语言三规则与 interview 项（profile）
Cards/03 Module Build Card.md	<FILE>	derived	编译产物；含排除项（instance）、主线切片与 interview gate（profile）
Cards/04 Source-driven Expansion Card.md	<FILE>	derived	编译产物；含 OpenAI/Anthropic 点名与 interview 项（profile）
Cards/05 Interview Content Card.md	<FILE>	derived	编译产物；整卡面试内容（profile 三重绑定）
Cards/06 Migration and Refactor Card.md	<FILE>	derived	编译产物；含主线保全与 interview 迁移（profile）
Cards/07 Long-running Execution Card.md	<FILE>	derived	编译产物；仅 Tiering 表含 profile 触发词，其余 kernel 压缩
Cards/08 Audit and Completion Card.md	<FILE>	derived	编译产物；含终审步骤 8 interview 同步项（profile）
Cards/09 Standards Governance Card.md	<FILE>	derived	编译产物；含语言政策行（profile）
Cards/10 Maintenance Run Card.md	<FILE>	derived	编译产物；含 language 候选池项（profile）
